Date,RR,Rain7,RH_avg,Tavg,FRI_v2,FRI_v3_Final,Risk_Class_v3_Final,Confidence_v3_Final
2024-11-05,6.0,114.6,87.0,26.2,66.70039570044885,58.25944365698086,Medium,1.0
2024-11-06,3.3,64.3,82.0,27.2,52.79854997854997,48.74276276276276,Medium,1.0
2024-11-07,44.1,108.4,90.0,25.2,71.6525584691708,64.62645759508622,Medium,1.0
2024-11-08,1.2,71.19999999999999,84.0,26.6,55.51196053196053,48.70348348348349,Medium,1.0
2024-11-09,0.0,67.0,79.0,27.8,48.90283140283141,45.73198198198199,Medium,1.0
2024-11-10,97.1,164.1,83.0,26.8,72.33285424049137,67.4735313016773,High,1.0
2024-11-11,0.0,151.7,79.0,29.0,61.244290889046376,57.44044806677691,Medium,1.0
2024-11-12,37.6,183.3,86.0,26.9,75.12057957319473,68.63685014568075,High,1.0
2024-11-13,6.6,186.6,86.0,26.8,71.49103236475314,62.897722655327186,Medium,1.0
2024-11-14,0.0,142.49999999999997,89.0,26.2,67.46482990786676,57.462880935506725,Medium,1.0
2024-11-15,33.1,174.4,83.0,28.1,73.22133652256085,70.24668556579259,High,1.0
2024-11-16,0.0,174.4,89.0,26.5,69.59883652256083,59.28168556579258,Medium,1.0
2024-11-17,56.2,133.5,86.0,27.2,74.50073643593983,70.47669328293567,High,1.0
2024-11-18,0.1,133.6,90.0,25.7,67.1875313016773,56.94660524450744,Medium,1.0
2024-11-19,70.0,166.0,90.0,26.3,77.36106780061422,70.92608079376329,High,1.0
2024-11-20,,159.4,90.0,26.8,77.96808147623173,71.70967607454038,High,0.85
2024-11-21,1.9,161.3,90.0,26.5,70.21015355539807,60.50510748877864,Medium,1.0
2024-11-22,38.7,166.9,87.0,26.4,73.69255492558469,66.35995511457595,High,1.0
2024-11-23,2.0,168.9,92.0,26.4,71.86567446255611,61.96263879045594,Medium,1.0
2024-11-24,0.3,113.0,91.0,26.1,67.00923340420505,57.50663004961021,Medium,1.0
2024-11-25,3.3,116.2,93.0,25.8,69.39822466335931,60.188923931018195,Medium,1.0
2024-11-26,2.6,48.8,86.0,26.8,52.42030888030887,48.60954954954955,Medium,1.0
2024-11-27,15.3,64.1,92.0,25.6,61.8430888030888,56.13882882882883,Medium,1.0
2024-11-28,2.2,64.4,85.0,26.9,56.057391677391664,50.93861861861861,Medium,1.0
2024-11-29,7.7,33.4,93.0,25.4,50.33394582332531,47.24259540966104,Medium,1.0
2024-11-30,,31.4,81.0,28.0,45.09996886398006,49.23585927565582,Medium,0.85
2024-12-01,4.1,35.2,82.0,27.5,43.68868895116093,43.75033226581265,Medium,1.0
2024-12-02,0.0,31.9,87.0,26.6,44.81790988346231,41.92114802953474,Medium,1.0
2024-12-03,1.4,30.7,83.0,27.4,41.99474779823858,41.744323458767006,Medium,1.0
2024-12-04,0.0,15.4,79.0,27.2,27.82042869641293,28.627077865266827,Low,1.0
2024-12-05,,13.2,75.0,27.2,23.62968517824159,26.580059845460486,Low,0.85
2024-12-06,0.0,5.5,73.0,28.4,17.46562929633795,23.944194475690534,Low,1.0
2024-12-07,2.0,7.5,74.0,28.3,20.237257842769644,26.504493188351454,Low,1.0
2024-12-08,0.0,3.4,70.0,28.7,14.621609798775149,22.012904636920386,Low,1.0
2024-12-09,0.0,3.4,79.0,26.8,17.260498687664043,19.790682414698168,Low,1.0
2024-12-10,0.0,2.0,78.0,28.0,17.824803149606296,24.227362204724415,Low,1.0
2024-12-11,0.0,2.0,78.0,28.3,18.588692038495186,25.755139982502186,Low,1.0
2024-12-12,11.5,13.5,86.0,26.3,38.32992125984251,38.907611548556424,Medium,1.0
2024-12-13,10.5,24.0,85.0,26.8,42.819268748332,42.7934881238324,Medium,1.0
2024-12-14,0.0,22.0,76.0,28.4,29.69402506131889,32.98621436832004,Low,1.0
2024-12-15,0.0,22.0,79.0,28.6,34.257517124810946,37.82748420958989,Medium,1.0
2024-12-16,0.0,22.0,79.0,28.7,34.39640601369983,38.10526198736767,Medium,1.0
2024-12-17,4.0,26.0,86.0,27.7,46.59074259407525,48.36226981585268,Medium,1.0
2024-12-18,25.5,51.5,89.0,26.0,57.42403474903474,53.857657657657654,Medium,1.0
2024-12-19,64.9,104.9,86.0,26.1,70.88184927947083,65.26076116229626,Medium,1.0
2024-12-20,3.5,97.9,90.0,25.7,66.43909756673753,57.51070163004962,Medium,1.0
2024-12-21,12.4,110.3,82.0,27.6,64.04977202929365,59.48667375383891,Medium,1.0
2024-12-22,21.0,131.3,85.0,27.1,69.4450271674935,63.60818568391213,Medium,1.0
2024-12-23,38.5,169.8,94.0,25.6,77.55216158752657,69.4915131112686,High,1.0
2024-12-24,6.0,171.8,86.0,27.3,71.92583668005355,64.94364123159305,Medium,1.0
2024-12-25,1.0,147.3,87.0,26.4,67.06498346326482,57.34465509095204,Medium,1.0
2024-12-26,,82.4,86.0,27.1,70.02717002717003,66.21621621621622,High,0.85
