Date,RR,Rain7,RH_avg,Tavg,FRI_v2,FRI_v3,Risk_Class_v3,Confidence_v3
2024-12-19,64.9,104.9,86.0,26.1,70.88184927947083,62.46625797306875,Medium,1.0
2024-12-20,3.5,97.9,90.0,25.7,66.43909756673753,48.01954878336876,Medium,1.0
2024-12-21,12.4,110.3,82.0,27.6,64.04977202929365,54.748219347980175,Medium,1.0
2024-12-22,21.0,131.3,85.0,27.1,69.4450271674935,58.2558469170801,Medium,1.0
2024-12-23,38.5,169.8,94.0,25.6,77.55216158752657,63.14274746042995,Medium,1.0
2024-12-24,6.0,171.8,86.0,27.3,71.92583668005355,57.174029451137905,Medium,1.0
2024-12-25,1.0,147.3,87.0,26.4,67.06498346326482,46.874158398299066,Medium,1.0
2024-12-26,,82.4,86.0,27.1,70.02717002717003,63.12741312741314,Medium,0.75
2024-12-27,,78.9,81.0,28.3,64.30061013394347,65.61740311740311,Medium,0.75
2024-12-28,4.0,70.5,83.0,27.5,57.44145752895753,48.545728764478774,Medium,1.0
2024-12-29,8.2,57.7,84.0,27.7,56.27472007722006,51.36569337194337,Medium,1.0
2024-12-30,52.7,71.9,87.0,25.9,65.21240797940797,58.530537323037315,Medium,1.0
2024-12-31,0.7,66.60000000000001,84.0,27.4,56.05413127413127,45.087065637065635,Medium,1.0
2025-01-01,0.0,65.60000000000001,81.0,28.0,52.82738095238094,45.163690476190474,Medium,1.0
2025-01-02,18.0,83.60000000000001,82.0,28.0,63.85222007722006,58.64277670527671,Medium,1.0
2025-01-03,10.9,94.5,86.0,26.9,66.90273879833057,53.74692495472083,Medium,1.0
2025-01-04,0.0,90.5,89.0,26.6,64.92149972438774,46.141305417749436,Medium,1.0
2025-01-05,,82.3,84.0,27.3,67.27537060870394,61.62448162448163,Medium,0.75
2025-01-06,0.0,29.6,83.0,27.3,40.71661773863535,35.80275331376213,Medium,1.0
2025-01-07,19.0,47.900000000000006,89.0,25.7,55.33240025740025,47.19120012870012,Medium,1.0
2025-01-08,43.5,91.4,84.0,26.4,66.08854240491377,57.077604535790215,Medium,1.0
2025-01-09,0.2,73.60000000000001,90.0,26.1,60.7730501930502,43.21319176319176,Medium,1.0
2025-01-10,14.8,77.5,86.0,26.3,62.92120978120976,50.240604890604885,Medium,1.0
2025-01-11,0.1,77.60000000000001,95.0,24.1,63.47838481338481,42.19419240669241,Medium,1.0
2025-01-12,10.0,87.60000000000001,97.0,24.0,70.05578195133475,50.98622430900071,Medium,1.0
2025-01-13,24.7,112.3,90.0,25.1,69.85955823293172,54.86977911646587,Medium,1.0
2025-01-14,,93.3,92.0,25.5,73.16750662781845,60.01161508780219,Medium,0.75
2025-01-15,72.6,122.4,91.0,25.7,75.01506189463737,65.52386428065202,Medium,1.0
2025-01-16,,122.2,92.0,25.6,75.15657400845211,61.42727773840459,Medium,0.75
2025-01-17,52.6,160.0,87.0,26.0,74.18570918969998,63.17585459484999,Medium,1.0
2025-01-18,24.2,184.1,95.0,25.0,77.09171627687219,59.2608581384361,Medium,1.0
2025-01-19,26.1,200.2,89.0,26.0,75.31591188282542,59.16962260807937,Medium,1.0
2025-01-20,1.4,176.9,88.0,26.3,69.51481927710843,48.460742971887555,Medium,1.0
2025-01-21,0.0,176.9,83.0,26.8,64.20481927710844,44.769076305220885,Medium,1.0
2025-01-22,0.0,104.3,90.0,25.9,65.58374675171274,45.1252067091897,Medium,1.0
2025-01-23,3.2,107.5,88.0,26.5,66.302738010867,48.62803567210017,Medium,1.0
2025-01-24,0.0,54.90000000000001,84.0,27.1,51.176319176319176,40.421492921492934,Medium,1.0
2025-01-25,82.4,113.10000000000002,93.0,25.5,75.94113938105363,66.85423635719349,High,1.0
2025-01-26,67.8,154.8,87.0,26.3,74.7365983935743,65.16729919678716,Medium,1.0
2025-01-27,,153.4,92.0,25.6,77.20397931595664,62.65572092290733,Medium,0.75
2025-01-28,30.1,183.50000000000003,97.0,23.8,77.89628041578078,59.25980687455705,Medium,1.0
2025-01-29,7.2,190.7,88.0,25.3,71.22984408221119,51.11825537443893,Medium,1.0
2025-01-30,0.0,187.50000000000003,84.0,25.4,64.58085282305693,41.95709307819513,Medium,1.0
2025-01-31,7.0,194.50000000000003,84.0,26.2,67.92760453579022,49.49713560122845,Medium,1.0
2025-02-01,16.0,128.10000000000002,80.0,26.4,58.9977025750059,45.64051795416962,Medium,1.0
2025-02-02,0.0,60.30000000000001,81.0,27.8,50.49710424710425,42.74855212355212,Medium,1.0
2025-02-03,0.3,60.600000000000016,78.0,28.2,46.338629343629336,41.53431467181466,Medium,1.0
2025-02-04,5.0,35.500000000000014,76.0,27.4,34.32057074230813,33.48171394258264,Medium,1.0
2025-02-05,0.0,28.30000000000001,84.0,26.2,39.22397918334667,30.611989591673336,Low,1.0
2025-02-06,2.5,30.80000000000001,82.0,26.3,38.308113157192416,31.320723245262876,Low,1.0
2025-02-07,0.0,23.80000000000001,79.0,26.8,30.25587136375767,25.54460234854551,Low,1.0
2025-02-08,0.2,8.000000000000014,86.0,25.5,30.545879265091862,26.266272965879267,Low,1.0
2025-02-09,3.5,11.500000000000014,83.0,26.2,30.705118110236217,28.652559055118108,Low,1.0
2025-02-10,1.2,12.400000000000013,82.0,26.1,28.91044619422572,25.248556430446197,Low,1.0
2025-02-11,0.0,7.400000000000015,75.0,27.1,16.42200974878141,18.687195350581195,Low,1.0
2025-02-12,0.0,7.400000000000015,78.0,27.7,21.13927165354331,25.56963582677166,Low,1.0
2025-02-13,0.0,4.900000000000015,82.0,27.8,26.608267716535444,31.304133858267733,Low,1.0
2025-02-14,0.0,4.900000000000015,86.0,27.1,30.524934383202112,31.095800524934404,Low,1.0
2025-02-15,28.0,32.70000000000002,81.0,27.3,43.75761053287074,45.92324971087983,Medium,1.0
2025-02-16,17.6,46.80000000000001,85.0,27.1,53.72657058980517,49.55661862823593,Medium,1.0
2025-02-17,0.0,45.60000000000001,84.0,26.8,47.23285294902589,36.78309314117961,Medium,1.0
2025-02-18,17.0,62.60000000000001,85.0,26.8,57.92046332046331,49.82689832689832,Medium,1.0
2025-02-19,50.0,112.6,91.0,24.7,72.6989428301441,60.89113808173872,Medium,1.0
2025-02-20,,112.6,81.0,27.6,66.33215870016012,61.46596188676277,Medium,0.75
2025-02-21,,112.6,83.0,27.2,68.35376363843172,60.864110034910894,Medium,0.75
2025-02-22,1.2,85.80000000000001,88.0,26.4,64.09840411840412,45.75920205920205,Medium,1.0
2025-02-23,14.4,82.60000000000001,93.0,25.4,68.13380308880308,52.698568211068206,Medium,1.0
2025-02-24,110.2,192.8,91.0,25.1,80.76886959603118,71.59276813134893,High,1.0
2025-02-25,11.8,187.6,88.0,26.2,72.41009213323883,54.435046066619414,Medium,1.0
2025-02-26,,137.60000000000002,92.0,25.8,76.35233745439274,62.58918025041342,Medium,0.75
2025-02-27,115.8,253.4,94.0,25.5,86.55622489959838,75.7781124497992,High,1.0
2025-02-28,43.6,297.0,89.0,26.1,82.86623080557523,66.61144873612096,High,1.0
2025-03-01,1.8,297.6,85.0,27.6,77.34500000000001,58.36250000000002,Medium,1.0
2025-03-02,0.3,283.5,80.0,28.4,70.1900350421293,55.2655730766202,Medium,1.0
2025-03-03,0.0,173.29999999999998,83.0,27.8,66.90887077722657,51.95443538861329,Medium,1.0
2025-03-04,,161.5,89.0,26.7,77.10280118294529,65.24316219124866,Medium,0.75
2025-03-05,4.1,165.60000000000002,86.0,27.1,70.51077722655329,54.36872194660999,Medium,1.0
2025-03-06,26.2,76.00000000000001,87.0,26.1,64.21025096525096,53.38679214929215,Medium,1.0
