Date,RR,Rain7,RH_avg,Tavg,FRI_v2
2025-07-03,0.0,7.000000000000028,82.0,28.6,30.067366579177616
2025-07-04,0.0,7.000000000000028,88.0,26.3,31.595144356955394
2025-07-05,3.7,10.700000000000028,91.0,25.8,37.44686351706037
2025-07-06,0.0,3.7000000000000286,81.0,26.9,21.524496937882777
2025-07-07,0.0,3.7000000000000286,78.0,26.8,15.621719160105007
2025-07-08,0.0,3.7000000000000286,76.0,27.9,16.440171541057385
2025-07-09,0.0,3.7000000000000286,76.0,27.5,15.19017154105739
2025-07-10,0.0,3.7000000000000286,68.0,29.1,14.341957255343102
2025-07-11,0.0,3.7000000000000286,71.0,28.5,15.115766779152626
2025-07-12,0.8,0.8000000000000285,82.0,27.6,23.07492125984255
2025-07-13,0.8,0.8000000000000285,81.0,27.9,24.65824584426949
2025-07-14,0.0,0.8000000000000285,82.0,26.5,19.62992125984254
2025-07-15,13.5,14.30000000000003,76.0,27.5,26.669961567304096
2025-07-16,0.0,14.30000000000003,73.0,28.7,24.811429821272345
2025-07-17,0.0,14.30000000000003,67.0,28.5,21.31936632920885
2025-07-18,0.0,14.30000000000003,69.0,29.0,23.085239345081877
2025-07-19,0.0,13.500000000000028,67.0,28.9,21.24500062492189
2025-07-20,0.0,13.500000000000028,67.0,28.4,20.550556180477443
2025-07-21,0.0,13.500000000000028,70.0,29.3,23.407699037620304
2025-07-22,0.0,0.0,77.0,28.7,15.694444444444445
2025-07-23,0.0,0.0,79.0,27.6,16.87500000000001
2025-07-24,0.8,0.0,76.0,28.9,17.15167548500882
2025-07-25,0.0,0.0,83.0,27.3,22.722222222222225
2025-07-26,2.7,2.7000000000000286,84.0,27.0,26.594873140857413
2025-07-27,0.0,2.7000000000000286,79.0,28.0,20.250984251968525
2025-07-28,9.6,12.30000000000003,81.0,28.0,34.17337270341208
2025-07-29,0.2,12.500000000000028,78.0,29.2,28.186408573928265
2025-07-30,35.6,48.10000000000003,87.0,26.7,57.06230587730588
2025-07-31,0.3,48.40000000000003,80.0,27.5,43.97577541827543
2025-08-01,0.0,48.40000000000003,82.0,27.2,46.36271986271986
2025-08-02,50.0,95.70000000000002,76.0,28.2,59.54011845702136
2025-08-03,0.0,95.70000000000002,70.0,29.2,50.714721631624535
2025-08-04,0.0,86.10000000000002,83.0,27.8,61.758858965272864
2025-08-05,32.5,118.40000000000003,78.0,26.6,56.819267265139
2025-08-06,0.0,82.80000000000004,72.0,28.9,49.78013728013728
2025-08-07,0.0,82.50000000000003,76.0,28.5,51.270913770913765
2025-08-08,10.5,93.00000000000004,82.0,27.5,62.46220470115757
2025-08-09,1.2,44.20000000000003,78.0,27.6,39.31907125700562
2025-08-10,0.0,44.20000000000003,87.0,25.9,48.96407125700561
2025-08-11,6.6,50.800000000000026,86.0,25.9,52.90380952380952
2025-08-12,0.8,18.300000000000026,76.0,26.5,25.483402595091945
2025-08-13,8.2,26.50000000000003,85.0,26.0,42.263402722177744
2025-08-14,7.3,33.800000000000026,78.0,27.1,35.52407392580732
2025-08-15,0.0,23.30000000000003,82.0,25.9,33.97237790232186
2025-08-16,0.0,22.10000000000003,81.0,26.7,33.04754915043146
2025-08-17,0.0,22.10000000000003,81.0,27.2,34.43643803932034
2025-08-18,0.0,15.500000000000028,77.0,28.0,26.579724409448826
2025-08-19,0.0,15.500000000000028,85.0,26.3,35.53805774278216
2025-08-20,1.8,9.100000000000028,76.0,27.3,19.571862267216613
2025-08-21,0.0,1.8000000000000285,77.0,27.6,14.542322834645695
2025-08-22,0.0,1.8000000000000285,74.0,28.2,14.81017997750283
2025-08-23,18.0,19.80000000000003,75.0,27.0,28.122050656398137
2025-08-24,0.0,19.80000000000003,80.0,25.9,29.196257005604483
2025-08-25,0.0,19.80000000000003,84.0,26.3,35.90459033893782
2025-08-26,24.5,44.300000000000026,75.0,28.0,41.63267471119752
2025-08-27,0.0,42.50000000000003,74.0,29.1,37.80138396431431
2025-08-28,0.0,42.50000000000003,79.0,27.4,39.408526821457166
2025-08-29,0.0,42.50000000000003,77.0,27.7,36.596026821457166
2025-08-30,12.5,37.00000000000003,81.0,26.9,42.56787652344097
2025-08-31,0.0,37.00000000000003,71.0,28.6,33.29803525359971
2025-09-01,13.6,50.60000000000003,88.0,25.9,55.02279279279279
2025-09-02,35.8,61.90000000000003,90.0,24.9,61.50857142857143
2025-09-03,0.0,61.90000000000003,81.0,27.8,51.01190476190477
2025-09-04,22.8,84.70000000000003,83.0,26.5,61.8778120978121
2025-09-05,1.5,86.20000000000003,82.0,26.2,56.86476494212142
2025-09-06,0.0,73.70000000000003,74.0,27.8,45.701415701415705
2025-09-07,16.4,90.10000000000002,86.0,26.1,65.93176470588236
2025-09-08,0.0,76.50000000000003,77.0,28.4,49.73723723723723
2025-09-09,0.8,40.70000000000002,84.0,26.2,49.09772262254248
2025-09-10,0.0,40.70000000000003,78.0,28.2,39.31295036028824
2025-09-11,84.0,101.90000000000003,88.0,25.4,72.13533664068036
2025-09-12,18.6,119.00000000000004,80.0,25.6,58.140258681785966
2025-09-13,1.6,120.60000000000004,88.0,26.2,66.18642097802976
2025-09-14,0.6,104.80000000000004,77.0,28.5,54.26994330262226
2025-09-15,2.2,107.00000000000004,81.0,27.0,58.51209701551303
2025-09-16,18.5,125.50000000000004,82.0,26.6,62.913591621387525
2025-09-17,2.7,128.20000000000002,85.0,26.3,64.40860855185447
2025-09-18,0.8,44.20000000000002,80.0,28.3,49.55884460654943
2025-09-19,0.0,25.600000000000023,77.0,27.4,28.893114491593277
2025-09-20,0.0,24.000000000000025,87.0,27.1,43.04426874833201
2025-09-21,2.1,25.50000000000003,81.0,27.5,37.50558246597279
2025-09-22,0.0,23.300000000000026,82.0,27.6,37.59737790232187
2025-09-23,0.0,4.800000000000026,78.0,28.1,20.34202755905514
2025-09-24,0.0,2.100000000000025,76.0,27.3,13.340051243594573
2025-09-25,3.8,5.900000000000025,84.0,26.8,28.99900262467193
2025-09-26,1.4,7.300000000000025,78.0,28.1,22.870531496063013
2025-09-27,0.8,7.300000000000025,91.0,25.9,37.08114610673667
2025-09-28,3.0,8.200000000000024,86.0,26.1,32.323359580052504
2025-09-29,15.4,23.600000000000023,88.0,25.5,44.39580731251668
2025-09-30,0.0,23.600000000000023,76.0,28.6,30.612315249024626
2025-10-01,0.0,23.600000000000023,83.0,26.7,36.648029534738896
2025-10-02,5.5,25.300000000000026,82.0,27.4,39.83968508139846
